Rk,Team,G,MP,PTS
1,Utah Jazz*,82,240.9,99.8
2,San Antonio Spurs*,82,240.6,99.8
3,Boston Celtics*,82,241.5,100.4
4,Miami Heat*,82,243.0,102.9
5,Portland Trail Blazers*,82,240.9,103.0
6,Toronto Raptors*,82,241.8,103.9
7,Detroit Pistons,82,241.5,103.9
8,Houston Rockets*,82,240.9,103.9
9,Indiana Pacers*,82,240.9,104.2
10,Oklahoma City Thunder*,82,241.8,104.4
11,Philadelphia 76ers*,82,241.2,105.3
12,Dallas Mavericks,82,241.5,105.4
13,Memphis Grizzlies,82,240.3,105.5
14,Sacramento Kings,82,240.9,105.8
15,Washington Wizards*,82,242.1,106.0
16,Milwaukee Bucks*,82,241.8,106.8
17,Minnesota Timberwolves*,82,241.5,107.3
18,Golden State Warriors*,82,240.6,107.5
19,Charlotte Hornets,82,241.2,108.0
20,New York Knicks,82,241.8,108.0
21,Orlando Magic,82,240.6,108.2
22,Denver Nuggets,82,242.4,108.5
23,Atlanta Hawks,82,240.3,108.8
24,Los Angeles Clippers,82,240.3,109.0
25,Los Angeles Lakers,82,242.7,109.6
26,Cleveland Cavaliers*,82,240.6,109.9
27,Chicago Bulls,82,242.1,110.0
28,Brooklyn Nets,82,242.1,110.3
29,New Orleans Pelicans*,82,243.4,110.4
30,Phoenix Suns,82,240.3,113.3